CSA	CBSA	Name	Total	One	Two	ThreeFour	FiveMore	FiveStruct
999	24260	GrandIslandNE	304	248	20	6	30	1
999	24300	GrandJunction*CO	504	452	12	0	40	6
266	24340	GrandRapidsWyomingMI	3171	2273	62	13	823	44
366	24420	GrantsPass*OR	149	145	4	0	0	0
999	24500	GreatFallsMT	463	155	18	12	278	9
216	24540	Greeley*CO	2708	1995	2	24	687	51
267	24580	GreenBayWI	1004	641	22	6	335	35
268	24660	GreensboroHighPoint*NC	2632	1470	2	0	1160	49
274	24780	GreenvilleNC	905	335	42	0	528	18
273	24860	GreenvilleAndersonMauldinSC	4479	3306	12	22	1139	44
999	25060	GulfportBiloxiPascagoulaMS	1954	1386	22	62	484	30
548	25180	HagerstownMartinsburgMDWV	975	783	0	24	168	15
406	25220	Hammond*LA	592	577	10	0	5	1
546	25260	HanfordCorcoranCA	434	274	0	0	160	19
276	25420	HarrisburgCarlislePA	1602	1201	4	0	397	22
277	25500	Harrisonburg*VA	404	324	20	0	60	6
278	25540	HartfordWestHartfordEastHartford	1393	754	48	93	498	41
999	25620	HattiesburgMS	166	55	10	101	0	0
280	25860	HickoryLenoirMorgantonNC	594	454	18	0	122	6
999	25940	HiltonHeadIslandBlufftonBeaufort	1426	1426	0	0	0	0
496	25980	HinesvilleGA	242	198	0	8	36	1
999	26140	HomosassaSpringsFL	233	233	0	0	0	0
284	26300	HotSpringsAR	43	43	0	0	0	0
999	26380	HoumaThibodauxLA	664	634	6	4	20	1
288	26420	HoustonTheWoodlandsSugarLand*	63741	38315	146	236	25044	845
170	26580	HuntingtonAshlandWVKYOH	358	230	12	45	71	4
290	26620	HuntsvilleAL	2817	1784	16	34	983	57
292	26820	IdahoFallsID	482	474	8	0	0	0
294	26900	IndianapolisCarmelAndersonIN	8006	4965	110	141	2790	137
168	26980	IowaCityIA	1104	641	6	26	431	22
296	27060	IthacaNY	301	140	14	0	147	19
999	27100	JacksonMI	89	89	0	0	0	0
298	27140	JacksonMS	1962	1954	0	8	0	0
999	27180	JacksonTN	205	205	0	0	0	0
300	27260	Jacksonville*FL	7781	6299	82	187	1213	53
999	27340	JacksonvilleNC	1081	1045	20	4	12	2
357	27500	JanesvilleBeloitWI	143	123	20	0	0	0
999	27620	JeffersonCityMO	240	171	24	45	0	0
304	27740	JohnsonCityTN	706	458	0	0	248	10
306	27780	JohnstownPA	61	59	2	0	0	0
308	27860	JonesboroAR	680	377	48	93	162	18
309	27900	JoplinMO	408	332	24	4	48	1
999	27980	KahuluiWailukuLahaina*HI	338	324	14	0	0	0
310	28020	KalamazooPortageMI	561	511	10	4	36	2
176	28100	KankakeeIL	127	115	4	0	8	1
312	28140	KansasCity*MOKS	8201	4170	156	237	3638	112
999	28420	KennewickRichlandWA	1264	1078	48	20	118	9
999	28660	KilleenTempleTX	2371	2115	170	12	74	12
304	28700	KingsportBristolBristolTNVA	340	316	4	4	16	1
408	28740	KingstonNY	289	161	10	0	118	8
314	28940	KnoxvilleTN	3109	2095	14	0	1000	33
316	29020	KokomoIN	140	98	28	4	10	1
999	29100	LaCrosseOnalaskaWIMN	298	243	22	21	12	2
318	29180	LafayetteLA	2362	2224	0	13	125	6
320	29200	LafayetteWestLafayetteIN	1081	596	0	17	468	28
999	29340	LakeCharlesLA	1302	619	84	3	596	34
332	29420	LakeHavasuCityKingmanAZ	535	521	14	0	0	0
999	29460	LakelandWinterHaven*FL	2559	2547	12	0	0	0
999	29540	LancasterPA	1109	970	32	6	101	9
330	29620	LansingEastLansingMI	755	455	2	4	294	16
999	29700	Laredo*TX	1719	954	2	28	735	15
238	29740	LasCruces*NM	617	606	0	0	11	1
332	29820	LasVegasHendersonParadise*NV	10036	6809	26	95	3106	183
312	29940	LawrenceKS	347	178	8	0	161	7
999	30020	LawtonOK	114	92	14	8	0	0
276	30140	LebanonPA	348	285	6	0	57	6
999	30300	LewistonIDWA	90	59	4	3	24	2
438	30340	LewistonAuburnME	91	91	0	0	0	0
336	30460	LexingtonFayetteKY	1888	1319	26	37	506	24
338	30620	LimaOH	61	55	2	4	0	0
339	30700	LincolnNE	1994	1052	8	0	934	27
340	30780	LittleRockNorthLittleRockConway	2082	1514	60	23	485	7
999	30860	LoganUTID	784	415	0	53	316	24
346	30980	LongviewTX	290	213	30	11	36	3
440	31020	LongviewWA	178	160	12	0	6	1
348	31080	LosAngelesLongBeachAnaheim*CA	26950	8300	582	312	17756	485
350	31140	LouisvilleJeffersonCountyKYIN	4011	2390	82	8	1531	204
352	31180	LubbockTX	2136	975	60	0	1101	92
999	31340	LynchburgVA	921	576	4	3	338	12
356	31420	MaconGA	218	218	0	0	0	0
260	31460	MaderaCA	214	210	0	4	0	0
357	31540	MadisonWI	3805	1243	52	41	2469	59
148	31700	ManchesterNashuaNH	968	464	24	0	480	11
358	31740	ManhattanKS	514	407	8	20	79	4
359	31860	MankatoNorthMankatoMN	430	232	18	0	180	11
360	31900	MansfieldOH	61	61	0	0	0	0
365	32580	McAllenEdinburgMission*TX	3473	2840	178	245	210	12
366	32780	MedfordOR	747	590	10	15	132	15
368	32820	MemphisTNMSAR	3154	2539	4	4	607	11
382	32900	MercedCA	169	163	6	0	0	0
370	33100	MiamiFortLauderdaleWestPalmBeach	15259	5791	128	68	9272	256
176	33140	MichiganCityLaPorteIN	125	101	0	0	24	2
474	33220	MidlandMI	262	107	18	0	137	3
372	33260	Midland*TX	1556	920	0	0	636	26
376	33340	MilwaukeeWaukeshaWestAllis*WI	2355	1257	48	32	1018	44
378	33460	MinneapolisStPaulBloomington	11425	6689	42	85	4609	70
999	33540	Missoula*MT	578	227	10	94	247	11
380	33660	MobileAL	746	746	0	0	0	0
382	33700	ModestoCA	454	404	0	0	50	1
384	33740	MonroeLA	726	504	144	27	51	8
220	33780	MonroeMI	239	239	0	0	0	0
999	33860	MontgomeryAL	1129	737	2	0	390	23
390	34060	MorgantownWV	101	16	0	10	75	2
314	34100	MorristownTN	151	141	10	0	0	0
500	34580	MountVernonAnacortesWA	274	262	12	0	0	0
294	34620	MuncieIN	98	54	0	0	44	1
266	34740	MuskegonMI	181	172	6	3	0	0
396	34820	MyrtleBeachConwayNorthMyrtleBeac	5446	5027	64	15	340	20
488	34900	NapaCA	147	92	16	0	39	4
162	34940	NaplesImmokaleeMarcoIsland*FL	3610	2477	8	164	961	55
400	34980	NashvilleDavidsonMurfreesboroFra	14944	9075	66	28	5775	163
404	35100	NewBernNC	264	264	0	0	0	0
408	35300	NewHavenMilfordCT	1140	484	14	36	606	35
406	35380	NewOrleansMetairie*LA	2991	2440	140	63	348	4
408	35620	NewYorkNewarkJerseyCity*	47984	11799	1338	1071	33776	1046
515	35660	NilesBentonHarborMI	184	184	0	0	0	0
412	35840	NorthPortSarasotaBradenton*FL	5658	4174	36	254	1194	72
278	35980	NorwichNewLondonCT	646	288	6	12	340	13
999	36100	Ocala*FL	754	713	2	3	36	6
428	36140	OceanCity*NJ	638	447	164	17	10	2
372	36220	Odessa*TX	556	430	6	0	120	5
482	36260	OgdenClearfieldUT	2678	1990	24	124	540	32
416	36420	OklahomaCity*OK	7870	5959	130	92	1689	78
500	36500	OlympiaTumwaterWA	1003	934	10	0	59	6
420	36540	OmahaCouncilBluffs*NEIA	4192	2639	20	0	1533	63
422	36740	OrlandoKissimmeeSanford*FL	16115	9806	108	95	6106	210
118	36780	OshkoshNeenahWI	511	267	16	0	228	16
999	36980	OwensboroKY	323	257	38	4	24	3
348	37100	OxnardThousandOaksVenturaCA	1314	536	0	91	687	37
999	37340	PalmBayMelbourneTitusville*FL	1286	1241	2	0	43	2
999	37460	PanamaCityFL	693	687	2	4	0	0
425	37620	ParkersburgViennaWV	124	122	2	0	0	0
999	37860	PensacolaFerryPassBrent*FL	1825	1637	12	0	176	15
426	37900	PeoriaIL	890	835	2	0	53	1
428	37980	PhiladelphiaCamdenWilmington*	13631	6379	228	501	6523	384
999	38060	PhoenixMesaScottsdale*AZ	20341	11557	156	125	8503	349
340	38220	PineBluffAR	55	39	0	0	16	1
430	38300	Pittsburgh*PA	4190	3082	82	69	957	32
999	38340	PittsfieldMA	177	137	0	0	40	1
999	38540	PocatelloID	162	142	0	20	0	0
370	38940	PortStLucie*FL	1394	1048	22	3	321	22
438	38860	PortlandSouthPortlandME	1696	1419	28	42	207	14
440	38900	PortlandVancouverHillsboro*ORWA	12356	5462	154	59	6681	187
999	39140	PrescottAZ	968	948	8	4	8	1
148	39300	ProvidenceWarwickRIMA	1775	1441	52	73	209	20
482	39340	ProvoOremUT	5295	2679	28	167	2421	87
444	39380	Pueblo*CO	157	157	0	0	0	0
412	39460	PuntaGorda*FL	610	610	0	0	0	0
376	39540	RacineWI	207	159	24	0	24	1
450	39580	Raleigh*NC	11647	7680	0	4	3963	93
452	39660	RapidCitySD	671	524	10	3	134	8
428	39740	ReadingPA	458	322	0	24	112	6
454	39820	ReddingCA	242	240	2	0	0	0
456	39900	Reno*NV	2216	1507	12	11	686	62
999	40060	Richmond*VA	4312	3181	40	85	1006	24
348	40140	RiversideSanBernardinoOntario*	10166	7222	88	207	2649	210
999	40220	RoanokeVA	511	425	14	0	72	4
462	40340	RochesterMN	832	621	6	16	189	3
464	40380	RochesterNY	1791	1269	58	36	428	19
466	40420	RockfordIL	150	134	4	12	0	0
468	40580	RockyMountNC	216	202	14	0	0	0
470	40660	RomeGA	75	70	0	0	5	1
472	40900	SacramentoRosevilleArdenArcade*	4159	3694	10	32	423	20
474	40980	SaginawMI	214	104	40	10	60	2
440	41420	SalemOR	944	712	20	4	208	20
999	41500	SalinasCA	361	236	2	0	123	13
999	41540	SalisburyMDDE	2796	2237	144	64	351	32
482	41620	SaltLakeCity*UT	5318	3159	38	111	2010	86
999	41660	SanAngelo*TX	629	229	0	0	400	25
999	41700	SanAntonioNewBraunfels*TX	10332	6220	182	52	3878	174
999	41740	SanDiegoCarlsbad*CA	6875	2487	72	219	4097	163
488	41860	SanFranciscoOaklandHayward*CA	10001	3716	82	77	6126	122
488	41940	SanJoseSunnyvaleSantaClara*CA	10037	1861	10	149	8017	166
999	42020	SanLuisObispoPasoRoblesArroyoGr	983	812	18	19	134	17
488	42100	SantaCruzWatsonvilleCA	291	172	0	15	104	13
106	42140	SantaFe*NM	161	161	0	0	0	0
999	42200	SantaMariaSantaBarbaraCA	755	372	26	6	351	16
488	42220	SantaRosaPetalumaCA	663	419	4	8	232	14
496	42340	SavannahGA	2211	1857	6	0	348	44
999	42540	ScrantonWilkesBarreHazleton	2301	2113	14	92	82	6
500	42660	SeattleTacomaBellevue*WA	21953	8665	528	359	12401	286
370	42680	SebastianVeroBeach*FL	707	707	0	0	0	0
999	42700	Sebring*FL	92	92	0	0	0	0
999	43100	SheboyganWI	111	87	4	0	20	3
206	43300	ShermanDenisonTX	271	203	4	0	64	3
999	43340	ShreveportBossierCityLA	1719	1242	6	0	471	22
999	43420	SierraVistaDouglasAZ	261	179	0	0	82	11
512	43580	SiouxCityIANESD	408	301	24	4	79	2
999	43620	SiouxFallsSD	2330	1134	8	131	1057	49
515	43780	SouthBendMishawakaINMI	512	342	2	0	168	3
273	43900	SpartanburgSC	1104	1084	20	0	0	0
518	44060	SpokaneSpokaneValleyWA	1960	1135	82	21	722	45
522	44100	SpringfieldIL	455	300	66	0	89	3
521	44140	SpringfieldMA	506	420	30	15	41	5
520	44180	SpringfieldMO	2105	1116	16	4	969	36
212	44220	SpringfieldOH	53	49	0	4	0	0
378	41060	StCloudMN	577	387	0	16	174	14
999	41100	StGeorgeUT	1628	1573	0	4	51	4
312	41140	StJosephMOKS	104	98	6	0	0	0
476	41180	StLouis*MOIL	6992	4538	62	116	2276	119
524	44300	StateCollegePA	511	365	12	0	134	7
277	44420	StauntonWaynesboroVA	603	249	4	0	350	17
488	44700	StocktonLodi*CA	1265	1245	0	0	20	1
999	44940	Sumter*SC	289	269	0	0	20	1
532	45060	SyracuseNY	1163	652	56	16	439	23
533	45220	TallahasseeFL	1260	628	4	3	625	26
999	45300	TampaStPetersburgClearwater*FL	12386	7267	130	134	4855	176
999	45460	TerreHauteIN	338	75	28	0	235	9
999	45500	TexarkanaTXAR	133	129	4	0	0	0
422	45540	TheVillages*FL	2570	2570	0	0	0	0
534	45780	ToledoOH	1075	598	10	0	467	31
999	45820	TopekaKS	315	285	6	0	24	3
408	45940	Trenton*NJ	368	239	8	0	121	9
536	46060	Tucson*AZ	3250	2296	32	0	922	44
538	46140	Tulsa*OK	4533	3022	76	96	1339	50
999	46220	TuscaloosaAL	1386	440	70	33	843	30
540	46340	TylerTX	389	377	6	6	0	0
999	46520	UrbanHonolulu*HI	1578	875	12	0	691	17
999	46540	UticaRomeNY	236	220	0	0	16	2
999	46660	ValdostaGA	410	384	16	0	10	2
488	46700	VallejoFairfieldCA	646	646	0	0	0	0
544	47020	Victoria*TX	835	163	68	0	604	25
428	47220	VinelandBridgeton*NJ	212	182	0	0	30	6
545	47260	VirginiaBeachNorfolkNewportNews	5715	3766	22	70	1857	92
546	47300	VisaliaPortervilleCA	1092	836	8	0	248	22
999	47380	WacoTX	1471	607	50	0	814	49
999	47460	WallaWallaWA	214	190	8	0	16	2
356	47580	WarnerRobinsGA	780	659	0	11	110	13
548	47900	WashingtonArlingtonAlexandria*	24804	12411	128	26	12239	132
999	47940	WaterlooCedarFallsIA	407	334	22	11	40	3
999	48060	WatertownFortDrumNY	519	107	4	0	408	54
554	48140	WausauWI	383	218	0	0	165	12
430	48260	WeirtonSteubenvilleWVOH	41	25	0	16	0	0
999	48300	WenatcheeWA	460	433	6	0	21	3
999	48540	WheelingWVOH	61	9	0	0	52	2
999	48660	WichitaFallsTX	157	107	2	0	48	3
556	48620	WichitaKS	1514	1177	170	37	130	5
558	48700	WilliamsportPA	214	107	12	0	95	2
999	48900	Wilmington*NC	2208	1367	18	0	823	24
548	49020	WinchesterVAWV	525	523	2	0	0	0
268	49180	WinstonSalemNC	2085	1424	80	4	577	23
148	49340	WorcesterMACT	1384	1274	40	12	58	3
999	49420	YakimaWA	442	352	2	6	82	4
276	49620	YorkHanoverPA	816	720	6	12	78	9
566	49660	YoungstownWarrenBoardmanOHPA	313	301	0	0	12	1
472	49700	YubaCityCA	280	270	10	0	0	0
999	49740	YumaAZ	594	594	0	0	0	0
