	Commodities/Industries	111CA	113FF	211	212	213	22	23	321	327	331	332	333	334	335	3361MV	3364OT	337	339	311FT	313TT	315AL	322	323	324	325	326	42	441	445	452	4A0	481	482	483	484	485	486	487OS	493	511	512	513	514	521CI	523	524	525	 HS	 ORE	532RL	5411	5415	5412OP	55	561	562	61	621	622	623	624	711AS	713	721	722	81	 GFGD	 GFGN	GFE	GSLG	GSLE
 487OS	Othertransportationandsupportactivities	0	371	1	122	2	8691	20	267	314	28	20	3	1	1	2	0	100	51	112	19	0	152	190	96	35	105	26575	1063	762	2072	7429	13695	178	3994	25540	358	233	24197	1084	4189	1367	128	1896	587	5058	1097	0	0	0	1624	733	398	6195	53	2837	593	421	1699	1474	309	650	865	322	129	355	1406	4	8	257	588	2133
 493	Warehousingandstorage	784	0	1	137	0	751	0	308	244	200	807	506	571	128	518	391	266	762	534	164	59	277	510	47	649	375	12662	1696	5604	9459	12611	14	0	249	4038	63	4	2937	3750	807	243	191	375	0	791	167	0	0	161	257	142	81	887	5	818	77	75	378	373	94	134	158	79	251	610	397	224	102	0	2771	181
 511	Publishingindustries,exceptinternet(includessoftware)	136	2	10	1	1	118	133	5	16	13	53	58	126	23	27	79	11	60	25	5	2	4	63	1	55	17	739	45	132	22	716	17	22	0	48	3	1	107	38	14411	122	269	580	424	826	291	15	0	351	701	388	406	3104	1407	1206	17	603	906	419	124	1169	50	94	132	103	1033	686	694	399	6815	50
 512	Motionpictureandsoundrecordingindustries	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	193	179	0	4	31	0	0	1	0	0	9	0	107	21601	27060	9	13	11	1	0	0	51	3	9	17	1379	147	66	0	1440	37	7	682	525	610	67	598	555	523	1795	194	79	390	0
 513	Broadcastingandtelecommunications	279	13	253	176	358	459	3313	391	504	300	1217	1305	1705	282	468	694	680	750	1191	165	90	462	646	154	1071	698	9402	1130	604	507	5524	666	31	478	1338	416	97	735	657	2033	1382	89430	2950	4802	11869	3365	196	1	17674	2170	3221	3493	8417	5351	7312	349	1975	5209	3547	954	1187	741	777	1112	2392	4172	4199	2213	633	29185	258
 514	Dataprocessing,internetpublishing,andotherinformationservices	0	1	58	6	10	1490	396	452	514	322	1015	1112	625	168	382	845	358	597	923	132	66	469	347	49	542	488	2066	572	588	601	2616	487	1	0	27	28	35	87	24	2532	367	1289	2284	2594	15301	1457	209	0	1075	1766	1288	1018	6295	4789	6566	404	1708	819	1481	184	321	306	382	279	1194	2473	7859	6647	443	9954	812
 521CI	FederalReservebanks,creditintermediation,andrelatedactivities	3935	169	458	558	651	11804	5407	602	1390	1114	2166	2115	1561	560	1037	868	630	1168	3729	435	243	676	768	354	2072	1787	16363	2333	2525	787	13289	1199	3746	209	3899	1794	197	978	401	4271	1951	2800	1320	84348	29300	12525	1526	47118	29400	16579	3104	3541	16545	15180	7217	417	3160	7556	1997	2202	894	719	3092	1465	2745	13081	460	359	3078	8497	8591
 523	Securities,commoditycontracts,andinvestments	555	77	212	847	1237	1725	2938	79	220	1923	3101	3138	848	496	1496	1225	823	1523	469	47	25	87	210	74	129	265	1926	214	339	46	1327	407	1095	2151	1139	322	107	486	66	1119	614	503	195	70878	59604	4756	79719	2	3411	1364	1313	637	4017	6580	2660	98	607	2284	10199	767	2990	565	283	780	533	17440	22	69	126	16323	3553
 524	Insurancecarriersandrelatedactivities	5412	131	209	431	448	698	83	229	433	294	533	930	848	434	499	231	233	368	1381	238	538	248	252	97	1254	348	16464	1752	1143	512	5496	458	12	834	8998	1877	104	2562	582	1720	1925	588	379	15851	13534	211869	1281	5901	17307	4062	4143	1210	10739	1120	8016	1629	1054	19354	31013	2556	2319	2327	2186	2179	3901	4186	2	3312	1169	100	3573
 525	Funds,trusts,andotherfinancialvehicles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4788	5836	1744	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 HS	Housing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 ORE	Otherrealestate	1751	44	154	47	70	3733	6487	243	183	119	863	588	2435	200	730	1007	306	423	494	124	78	209	297	83	2637	350	44561	10177	13551	12956	65329	1871	153	1219	4985	331	270	3681	7137	4745	2434	13634	3567	8416	28314	8134	633	1994	133419	6646	18718	8168	40141	13276	14328	1548	25646	48372	18012	19773	14685	6942	9433	5808	31070	42709	3861	8724	1366	37694	3264
 532RL	Rentalandleasingservicesandlessorsofintangibleassets	3243	176	4348	1910	2208	1434	14327	405	979	800	2844	2838	3913	687	1894	1733	288	1753	4355	177	266	1250	1073	441	5597	1141	13325	589	1064	688	6746	7242	2351	45	9976	1495	18	1713	692	5645	2242	7270	4370	1703	5141	2549	17	2	4595	4259	2217	3253	11977	13979	5332	1441	3113	6568	5547	702	502	1637	1184	1550	5088	2811	695	347	259	9570	609
 5411	Legalservices	610	115	1639	651	904	6457	3700	302	399	316	795	1583	4576	336	1437	1777	248	1253	1040	145	78	362	372	298	4808	594	7135	316	384	385	2184	1920	374	293	106	338	118	468	373	2308	1060	3430	1100	5466	8328	9295	847	274	9079	4668	2355	3192	13817	8893	3902	405	438	4394	7694	922	586	1598	1975	3379	1598	2254	1289	569	949	10397	811
 5415	Computersystemsdesignandrelatedservices	355	35	341	40	24	1317	1378	171	193	189	635	989	1303	84	314	1053	139	345	527	78	41	195	424	155	537	305	3777	486	248	249	1968	438	433	13	134	42	10	207	195	2497	849	1678	3622	2258	7980	2055	138	28	4896	5005	1848	2747	8023	11441	4852	111	1028	2238	3705	600	453	231	538	285	702	1399	10967	14919	169	10454	1095
 5412OP	Miscellaneousprofessional,scientific,andtechnicalservices	1726	636	1657	1861	2609	13689	30580	2462	2956	2922	7193	6482	11049	1616	4385	5584	2407	6060	9102	1109	882	2773	3335	939	13197	4266	59762	7306	6276	7165	40772	2120	1581	1877	2528	1572	1681	1891	2185	18893	9714	42607	8181	33702	36288	17538	1876	1812	28644	12343	9987	17678	123711	43989	25812	2106	6217	23476	19590	5440	3771	6729	7036	9343	16979	14715	40327	20238	2150	45896	16508
 55	Managementofcompaniesandenterprises	0	0	7855	1889	1079	3	1868	3150	4268	3167	6839	8162	12451	2874	18772	10585	1855	7510	22119	2201	844	5545	3238	3177	47517	5047	45765	477	3128	16813	15713	530	0	398	4331	169	0	2106	287	3750	376	1413	943	11217	15631	2501	281	3	5003	1854	3585	3228	10145	6	11975	1644	1468	22755	4635	2149	1565	1791	1366	6572	27296	5251	0	0	0	0	0
 561	Administrativeandsupportservices	677	67	102	349	1020	6414	4817	1019	1534	2455	5690	2653	5818	740	1994	4569	566	1190	3138	453	790	1796	3828	759	3588	1780	28107	1906	2555	1225	12121	2298	767	1252	4100	1206	520	4461	1905	7441	1760	7760	4383	16252	14113	9411	124	471	123077	14819	8649	16206	37306	6867	20569	2534	3575	19765	18814	4159	2429	3068	2437	4338	5118	7175	14440	3226	2223	33502	5741
 562	Wastemanagementandremediationservices	14	9	370	200	70	659	1646	190	340	355	561	357	386	137	327	301	172	217	1465	153	34	418	202	253	2573	381	1488	345	525	220	1268	172	37	2595	402	1172	65	1040	318	104	61	182	62	10	467	585	0	13	11355	565	65	108	1226	662	1245	8135	694	1291	1258	738	384	146	532	1005	1539	1126	401	110	123	15454	2245
 61	Educationalservices	173	68	0	0	0	119	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	3	0	1	462	17	350	0	1827	37	9	0	0	0	4	8	0	0	0	118	58	49	10	0	0	0	0	0	0	22	36	0	152	0	2038	7	69	0	0	1086	161	0	0	1462	893	108	210	7540	11
 621	Ambulatoryhealthcareservices	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	50	0	0	7407	10518	46	1	52	2	0	0	30	0	408	0	1561	0
 622	Hospitals	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	323	0	0	0	0	0	0	0	0	0	0	0	0
 623	Nursingandresidentialcarefacilities	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1382	0	325	0
 624	Socialassistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	1373	0
 711AS	Performingarts,spectatorsports,museums,andrelatedactivities	79	6	0	1	6	98	158	66	68	67	126	126	45	14	50	42	30	60	181	23	11	73	77	36	70	107	870	143	188	17	449	28	206	1	67	4	0	89	43	346	7183	11170	168	1483	680	317	58	0	1790	143	472	309	3159	1835	1385	78	562	427	341	141	193	13206	800	464	1209	967	1005	62	56	682	34
 713	Amusements,gambling,andrecreationindustries	76	1	0	2	13	132	111	35	44	30	93	83	45	6	30	28	28	49	95	7	4	37	67	13	47	61	390	3	61	0	487	0	1	0	1	0	0	6	1	174	47	114	193	853	314	223	16	0	345	54	199	300	840	711	759	62	183	408	18	62	67	82	31	363	262	101	749	4	4	998	190
 721	Accommodation	5	0	1	11	53	739	774	154	200	141	415	386	206	32	142	123	124	225	425	34	15	165	568	56	220	347	705	9	85	2	278	2	6	0	3	49	7	154	50	884	272	593	1003	4361	1626	1099	83	1	2464	465	816	1656	4016	438	2708	455	624	1445	94	183	172	86	138	263	623	444	1393	488	46	2972	132
 722	Foodservicesanddrinkingplaces	201	0	2	17	545	2679	1011	447	512	444	1005	980	430	99	371	314	274	520	1238	132	64	492	659	230	546	690	3140	258	292	84	1310	1748	5	0	467	22	7	191	27	1387	479	854	1492	11730	2348	2916	340	1	10901	1092	2151	3004	11568	1995	6068	609	1072	6286	4925	906	1225	200	345	1919	1996	1406	1069	210	949	15208	277
 81	Otherservices,exceptgovernment	605	243	39	82	374	964	4447	481	868	1196	1466	987	1121	309	804	556	273	485	2023	240	63	1107	645	537	2071	880	14970	1095	2224	875	6286	126	79	60	1171	437	97	1140	1665	1350	290	4418	1653	11583	3234	1488	75	80	9701	4088	1245	1706	9325	5757	7436	1761	2495	5907	11488	1726	894	1033	1832	1784	5624	6124	2057	570	816	18475	1457
 GFGD	Federalgeneralgovernment(defense)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 GFGN	Federalgeneralgovernment(nondefense)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 GFE	Federalgovernmententerprises	49	8	0	6	0	395	33	0	0	39	73	773	66	347	0	0	0	49	0	5	0	0	221	63	117	0	11034	485	451	857	3719	0	0	619	9907	149	116	7316	429	1707	612	242	871	2570	3830	487	0	0	192	703	429	243	3584	274	1680	181	655	1087	1262	302	324	235	163	1284	3204	1282	2	195	0	2842	160
 GSLG	Stateandlocalgeneralgovernment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 GSLE	Stateandlocalgovernmententerprises	0	4	0	0	0	379	0	55	125	136	196	122	165	57	131	111	47	75	594	61	13	161	65	96	1138	123	500	89	219	90	481	0	0	0	42	0	0	3	132	57	45	85	38	124	255	93	0	0	524	449	260	100	886	277	726	77	90	400	379	247	938	59	125	402	634	488	561	253	253	3236	643
 Used	Scrap,usedandsecondhandgoods	-45	2	0	-27	29	151	95	0	233	30488	323	4	0	0	0	0	0	4	0	44	0	3522	0	0	51	76	1	6	0	0	1	-206	0	-54	6	1	5	1321	2	0	2	1	0	0	0	0	0	0	0	-19	0	0	0	364	0	0	23	20	0	0	0	-13	420	0	0	1561	-6	0	0	0	0
 Other	Noncomparableimportsandrest-of-the-worldadjustment[1]	592	46	712	33	167	827	2320	170	207	623	708	995	1523	371	1536	660	144	484	1773	86	43	480	339	1682	2374	577	3192	38	396	429	1113	12007	182	2177	647	8	41	341	62	1071	428	9339	1459	2079	20386	1794	192	771	1752	578	395	947	2386	2529	1186	111	501	0	0	151	0	220	161	644	1365	310	16816	3105	946	0	0
